arxiv_id,title,published
2602.06052,A Survey of Agent Memory in the Second Half: Towards Self-Evolving and Long-Horizon Agents,2026-01-14
2601.19928,"Towards a Mechanistic Understanding of Large Reasoning Models: A Survey of Training, Inference, and Failures",2026-01-11
2601.19927,Attribution Techniques for Mitigating Hallucinated Information in RAG Systems: A Survey,2026-01-10
2601.19926,The Grammar of Transformers: A Systematic Review of Interpretability Research on Syntactic Knowledge in Language Models,2026-01-09
2601.03181,Multi-Modal Data-Enhanced Foundation Models for Prediction and Control in Wireless Networks: A Survey,2026-01-06
2601.02907,Beyond the Black Box: A Survey on the Theory and Mechanism of Large Language Models,2026-01-06
2601.14270,Opening the Black Box: A Survey on the Mechanisms of Multi-Step Reasoning in Large Language Models,2026-01-02
2601.03270,Advances and Challenges in Semantic Textual Similarity: A Comprehensive Survey,2025-12-19
2512.16301,"Adaptation of Agentic AI: A Survey of Post-Training, Memory, and Skills",2025-12-18
2601.03262,Roles of MLLMs in Visually Rich Document Retrieval for RAG: A Survey,2025-12-16
2512.11261,Leveraging LLMs for Title and Abstract Screening for Systematic Review: A Cost-Effective Dynamic Few-Shot Learning Approach,2025-12-12
2512.02689,An Empirical Survey of Model Merging Algorithms for Social Bias Mitigation,2025-12-02
2512.01109,How do we measure privacy in text? A survey of text anonymization metrics,2025-11-30
2602.00011,Chained Prompting for Better Systematic Review Search Strategies,2025-11-28
2512.02038,Deep Research: A Systematic Survey,2025-11-24
2511.18538,From Code Foundation Models to Agents and Applications: A Comprehensive Survey and Practical Guide to Code Intelligence,2025-11-23
2511.07491,Quantifying the Impact of CU: A Systematic Literature Review,2025-11-10
2511.06000,LLMs Do Not See Age: Assessing Demographic Bias in Automated Systematic Review Synthesis,2025-11-08
2511.03939,"RLHF: A comprehensive Survey for Cultural, Multimodal and Low Latency Alignment Methods",2025-11-06
2511.03610,A systematic review of relation extraction task since the emergence of Transformers,2025-11-05
2511.03354,"Generative Artificial Intelligence in Bioinformatics: A Systematic Review of Models, Applications, and Methodological Advances",2025-11-05
2511.07448,Large Language Models for Scientific Idea Generation: A Creativity-Centered Survey,2025-11-05
2511.14772,Test-time Scaling of LLMs: A Survey from A Subproblem Structure Perspective,2025-11-01
2510.27369,From the Rock Floor to the Cloud: A Systematic Survey of State-of-the-Art NLP in Battery Life Cycle,2025-10-31
2510.27045,Quantitative Intertextuality from the Digital Humanities Perspective: A Survey,2025-10-30
2510.25817,A Survey on Efficient Large Language Model Training: From Data-centric Perspectives,2025-10-29
2510.25117,A Survey on Unlearning in Large Language Models,2025-10-29
2510.23081,A Survey on LLM Mid-Training,2025-10-27
2510.21131,Large Language Models Meet Text-Attributed Graphs: A Survey of Integration Frameworks and Applications,2025-10-24
2510.19144,"Tibetan Language and AI: A Comprehensive Survey of Resources, Methods and Challenges",2025-10-22
2510.17491,"Empowering Real-World: A Survey on the Technology, Practice, and Evaluation of LLM-driven Industry Agents",2025-10-20
2510.16724,"A Comprehensive Survey on Reinforcement Learning-based Agentic Search: Foundations, Roles, Optimizations, Evaluations, and Applications",2025-10-19
2510.17892,Advances in Pre-trained Language Models for Domain-Specific Text Classification: A Systematic Review,2025-10-18
2510.16091,Evaluating Prompting Strategies and Large Language Models in Systematic Literature Review Screening: Relevance and Task-Stage Classification,2025-10-17
2510.15253,Scaling Beyond Context: A Survey of Multimodal Retrieval-Augmented Generation for Document Understanding,2025-10-17
2510.13366,Document Intelligence in the Era of Large Language Models: A Survey,2025-10-15
2510.13170,Putting on the Thinking Hats: A Survey on Chain of Thought Fine-tuning from the Perspective of Human Reasoning Mechanism,2025-10-15
2510.12178,Evolution of meta's llama models and parameter-efficient fine-tuning of large language models: a survey,2025-10-14
2510.12164,A Survey on Parallel Reasoning,2025-10-14
2510.13890,"A Survey on Collaborating Small and Large Language Models for Performance, Cost-effectiveness, Cloud-edge Privacy, and Trustworthiness",2025-10-14
2510.10991,A Survey on Agentic Multimodal Large Language Models,2025-10-13
2510.10182,A Survey of Inductive Reasoning for Large Language Models,2025-10-11
2510.10161,Large Language Model Sourcing: A Survey,2025-10-11
2510.09988,Unifying Tree Search Algorithm and Reward Design for LLM Reasoning: A Survey,2025-10-11
2510.09316,"A Survey of LLM Prompt Datasets: Taxonomy, Linguistic Patterns, and Practical Uses",2025-10-10
2510.09721,A Comprehensive Survey on Benchmarks and Solutions in Software Engineering of LLM-Empowered Agentic System,2025-10-10
2510.08049,A Survey of Process Reward Models: From Outcome Signals to Process Supervisions for Large Language Models,2025-10-09
2510.07793,LLM4Cell: A Survey of Large Language and Agentic Models for Single-Cell Biology,2025-10-09
2510.07706,Large Language Models Meet Virtual Cell: A Survey,2025-10-09
2510.09671,"Table Question Answering in the Era of Large Language Models: A Comprehensive Survey of Tasks, Methods, and Evaluation",2025-10-08
2510.07037,Beyond Monolingual Assumptions: A Survey of Code-Switched NLP in the Era of Large Language Models across Modalities,2025-10-08
2510.06826,Mid-Training of Large Language Models: A Survey,2025-10-08
2510.06445,"A Survey on Agentic Security: Applications, Threats and Defenses",2025-10-07
2510.04905,Retrieval-Augmented Code Generation: A Survey with Focus on Repository-Level Approaches,2025-10-06
2510.04023,"LLM-Based Data Science Agents: A Survey of Capabilities, Challenges, and Future Directions",2025-10-05
2510.02665,Self-Improvement in Multimodal Large Language Models: A Survey,2025-10-03
2510.01925,Enhancing Large Language Model Reasoning with Reward Models: An Analytical Survey,2025-10-02
2510.01145,Automatic Speech Recognition (ASR) for African Low-Resource Languages: A Systematic Literature Review,2025-10-01
2510.01048,Interpreting Language Models Through Concept Descriptions: A Survey,2025-10-01
2510.05138,LiRA: A Multi-Agent Framework for Reliable and Readable Literature Review Generation,2025-10-01
2510.05136,Linguistic Characteristics of AI-Generated Text: A Survey,2025-10-01
2509.25477,"The Rise of AfricaNLP: A Survey of Contributions, Contributors, Community Impact, and Bibliometric Analysis",2025-09-29
2509.24435,Alternatives To Next Token Prediction In Text Generation -- A Survey,2025-09-29
2509.24322,Multimodal Large Language Models Meet Multimodal Emotion Recognition and Reasoning: A Survey,2025-09-29
2509.23486,Text-Based Approaches to Item Difficulty Modeling in Large-Scale Assessments: A Systematic Review,2025-09-27
2509.22123,"Multilingual Vision-Language Models, A Survey",2025-09-26
2509.21631,Towards Transparent AI: A Survey on Explainable Language Models,2025-09-25
2509.17240,Can Agents Judge Systematic Reviews Like Humans? Evaluating SLRs with LLM-based Multi-Agent System,2025-09-21
2509.16679,Reinforcement Learning Meets Large Language Models: A Survey of Advancements and Applications Across the LLM Lifecycle,2025-09-20
2509.16599,Computational-Assisted Systematic Review and Meta-Analysis (CASMA): Effect of a Subclass of GnRH-a on Endometriosis Recurrence,2025-09-20
2509.16325,"Overhearing LLM Agents: A Survey, Taxonomy, and Roadmap",2025-09-19
2509.15896,The Psychology of Falsehood: A Human-Centric Survey of Misinformation Detection,2025-09-19
2509.14515,From Turn-Taking to Synchronous Dialogue: A Survey of Full-Duplex Spoken Language Models,2025-09-18
