key,year,title,url
flor-etal-2025-survey,2025,A Survey of Idiom Datasets for Psycholinguistic and Computational Research,https://aclanthology.org/2025.konvens-1.9/
sorato-zavala-rojas-2025-evaluating,2025,Evaluating the Feasibility of Using {C}hat{GPT} for Cross-cultural Survey Translation,https://aclanthology.org/2025.konvens-1.16/
bellinghausen-riedel-2025-systematic,2025,Systematic Review of Linguistic Characteristics in Profiling and Automated Detection of Autistic Speech,https://aclanthology.org/2025.konvens-1.23/
castillo-lopez-etal-2025-survey,2025,A Survey of Recent Advances on Turn-taking Modeling in Spoken Dialogue Systems,https://aclanthology.org/2025.iwsds-1.27/
schmidtova-etal-2025-eyes,2025,Do My Eyes Deceive Me? A Survey of Human Evaluations of Hallucinations in {NLG},https://aclanthology.org/2025.inlg-main.4/
zhen-etal-2025-taming,2025,Taming the Titans: A Survey of Efficient {LLM} Inference Serving,https://aclanthology.org/2025.inlg-main.32/
perera-sumanathilaka-2025-machine,2025,Machine Translation and Transliteration for {I}ndo-{A}ryan Languages: A Systematic Review,https://aclanthology.org/2025.indonlp-1.2/
zhang-2025-roles,2025,Roles of {MLLM}s in Visually Rich Document Retrieval for {RAG}: A Survey,https://aclanthology.org/2025.ijcnlp-long.2/
zhu-etal-2025-asaudio,2025,{ASA}udio: A Survey of Advanced Spatial Audio Research,https://aclanthology.org/2025.ijcnlp-long.25/
ghosh-etal-2025-survey-llm,2025,A Survey on {LLM}-Assisted Clinical Trial Recruitment,https://aclanthology.org/2025.ijcnlp-long.35/
aghaebe-etal-2025-llms,2025,{LLM}s Do Not See Age: Assessing Demographic Bias in Automated Systematic Review Synthesis,https://aclanthology.org/2025.ijcnlp-long.98/
das-etal-2025-video,2025,"Video-guided Machine Translation: A Survey of Models, Datasets, and Challenges",https://aclanthology.org/2025.ijcnlp-long.178/
belosevic-2025-user,2025,User-Centric Design Paradigms for Trust and Control in Human-{LLM}-Interactions: A Survey,https://aclanthology.org/2025.hcinlp-1.3/
pitts-etal-2025-survey,2025,A Survey of {LLM}-Based Applications in Programming Education: Balancing Automation and Human Oversight,https://aclanthology.org/2025.hcinlp-1.21/
shi-agrawal-2025-comprehensive,2025,"A Comprehensive Survey of Contemporary {A}rabic Sentiment Analysis: Methods, Challenges, and Future Directions",https://aclanthology.org/2025.findings-naacl.208/
